ED_num,reported,candidate,party,votes
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),257
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),826
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),141
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED    1,99.00%,WRITE-IN,&nbsp,12
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),240
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),792
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),115
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED    2,99.00%,WRITE-IN,&nbsp,11
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),84
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),285
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),33
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED    3,99.00%,WRITE-IN,&nbsp,3
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),337
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),771
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),55
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED    4,99.00%,WRITE-IN,&nbsp,13
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),290
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),831
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),56
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED    5,99.00%,WRITE-IN,&nbsp,10
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),328
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),757
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),57
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED    6,99.00%,WRITE-IN,&nbsp,13
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),389
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),785
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),61
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED    7,99.00%,WRITE-IN,&nbsp,17
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),377
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),505
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),48
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),38
