ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    4,99.00%,Liz Krueger,(Democratic),879,AD 66,2024-11-07_14:08:10.716797
ED    4,99.00%,Louis Puliafito,(Republican),143,AD 66,2024-11-07_14:08:10.716797
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 66,2024-11-07_14:08:10.716797
ED    5,99.00%,Liz Krueger,(Democratic),552,AD 66,2024-11-07_14:08:10.716797
ED    5,99.00%,Louis Puliafito,(Republican),98,AD 66,2024-11-07_14:08:10.716797
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 66,2024-11-07_14:08:10.716797
ED    6,99.00%,Liz Krueger,(Democratic),687,AD 66,2024-11-07_14:08:10.716797
ED    6,99.00%,Louis Puliafito,(Republican),132,AD 66,2024-11-07_14:08:10.716797
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 66,2024-11-07_14:08:10.716797
ED    7,99.00%,Liz Krueger,(Democratic),585,AD 66,2024-11-07_14:08:10.716797
ED    7,99.00%,Louis Puliafito,(Republican),121,AD 66,2024-11-07_14:08:10.716797
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 66,2024-11-07_14:08:10.716797
ED   78,99.00%,Liz Krueger,(Democratic),0,AD 66,2024-11-07_14:08:10.716797
ED   78,99.00%,Louis Puliafito,(Republican),0,AD 66,2024-11-07_14:08:10.716797
ED   78,99.00%,WRITE-IN,&nbsp,0,AD 66,2024-11-07_14:08:10.716797
Total,,Liz Krueger,(Democratic),2703,AD 66,2024-11-07_14:08:10.716797
Total,,Louis Puliafito,(Republican),494,AD 66,2024-11-07_14:08:10.716797
Total,,WRITE-IN,&nbsp,2,AD 66,2024-11-07_14:08:10.716797
ED   69,99.00%,Liz Krueger,(Democratic),0,AD 67,2024-11-07_14:08:10.716797
ED   69,99.00%,Louis Puliafito,(Republican),0,AD 67,2024-11-07_14:08:10.716797
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 67,2024-11-07_14:08:10.716797
Total,,Liz Krueger,(Democratic),-,AD 67,2024-11-07_14:08:10.716797
Total,,Louis Puliafito,(Republican),-,AD 67,2024-11-07_14:08:10.716797
Total,,WRITE-IN,&nbsp,-,AD 67,2024-11-07_14:08:10.716797
ED   54,99.00%,Liz Krueger,(Democratic),452,AD 68,2024-11-07_14:08:10.716797
