ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Landon C. Dais,(Democratic),359,AD 77,2024-11-07_14:08:57.691807
ED    1,99.00%,Norman Sobe McGill,(Republican),110,AD 77,2024-11-07_14:08:57.691807
ED    1,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),38,AD 77,2024-11-07_14:08:57.691807
ED    1,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:08:57.691807
ED    2,99.00%,Landon C. Dais,(Democratic),446,AD 77,2024-11-07_14:08:57.691807
ED    2,99.00%,Norman Sobe McGill,(Republican),141,AD 77,2024-11-07_14:08:57.691807
ED    2,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),52,AD 77,2024-11-07_14:08:57.691807
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:08:57.691807
ED    3,99.00%,Landon C. Dais,(Democratic),440,AD 77,2024-11-07_14:08:57.691807
ED    3,99.00%,Norman Sobe McGill,(Republican),113,AD 77,2024-11-07_14:08:57.691807
ED    3,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),37,AD 77,2024-11-07_14:08:57.691807
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 77,2024-11-07_14:08:57.691807
ED    4,83.33%,Landon C. Dais,(Democratic),95,AD 77,2024-11-07_14:08:57.691807
ED    4,83.33%,Norman Sobe McGill,(Republican),21,AD 77,2024-11-07_14:08:57.691807
ED    4,83.33%,Elianni Del Carmen Tejada Fabian,(Conservative),2,AD 77,2024-11-07_14:08:57.691807
ED    4,83.33%,WRITE-IN,&nbsp,0,AD 77,2024-11-07_14:08:57.691807
ED    5,99.00%,Landon C. Dais,(Democratic),426,AD 77,2024-11-07_14:08:57.691807
ED    5,99.00%,Norman Sobe McGill,(Republican),116,AD 77,2024-11-07_14:08:57.691807
ED    5,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),33,AD 77,2024-11-07_14:08:57.691807
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:08:57.691807
ED    6,99.00%,Landon C. Dais,(Democratic),398,AD 77,2024-11-07_14:08:57.691807
ED    6,99.00%,Norman Sobe McGill,(Republican),118,AD 77,2024-11-07_14:08:57.691807
ED    6,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),32,AD 77,2024-11-07_14:08:57.691807
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 77,2024-11-07_14:08:57.691807
ED    7,99.00%,Landon C. Dais,(Democratic),438,AD 77,2024-11-07_14:08:57.691807
ED    7,99.00%,Norman Sobe McGill,(Republican),145,AD 77,2024-11-07_14:08:57.691807
ED    7,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),25,AD 77,2024-11-07_14:08:57.691807
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 77,2024-11-07_14:08:57.691807
ED    8,99.00%,Landon C. Dais,(Democratic),368,AD 77,2024-11-07_14:08:57.691807
ED    8,99.00%,Norman Sobe McGill,(Republican),106,AD 77,2024-11-07_14:08:57.691807
ED    8,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),19,AD 77,2024-11-07_14:08:57.691807
ED    8,99.00%,WRITE-IN,&nbsp,3,AD 77,2024-11-07_14:08:57.691807
ED    9,99.00%,Landon C. Dais,(Democratic),459,AD 77,2024-11-07_14:08:57.691807
ED    9,99.00%,Norman Sobe McGill,(Republican),140,AD 77,2024-11-07_14:08:57.691807
ED    9,99.00%,Elianni Del Carmen Tejada Fabian,(Conservative),35,AD 77,2024-11-07_14:08:57.691807
