AD_num,reported,candidate,party,votes,scrape_time
AD   24,85.71%,Thomas R. Suozzi,(Democratic),1048,2024-11-13_13:13:06.405431
AD   24,85.71%,Michael J. LiPetri Jr.,(Republican),420,2024-11-13_13:13:06.405431
AD   24,85.71%,Michael J. LiPetri Jr.,(Conservative),40,2024-11-13_13:13:06.405431
AD   24,85.71%,Thomas R. Suozzi,(Common Sense),22,2024-11-13_13:13:06.405431
AD   24,85.71%,WRITE-IN,,10,2024-11-13_13:13:06.405431
AD   26,96.67%,Thomas R. Suozzi,(Democratic),20803,2024-11-13_13:13:06.405431
AD   26,96.67%,Michael J. LiPetri Jr.,(Republican),14936,2024-11-13_13:13:06.405431
AD   26,96.67%,Michael J. LiPetri Jr.,(Conservative),1384,2024-11-13_13:13:06.405431
AD   26,96.67%,Thomas R. Suozzi,(Common Sense),440,2024-11-13_13:13:06.405431
AD   26,96.67%,WRITE-IN,,88,2024-11-13_13:13:06.405431
AD   27,96.00%,Thomas R. Suozzi,(Democratic),2796,2024-11-13_13:13:06.405431
AD   27,96.00%,Michael J. LiPetri Jr.,(Republican),4456,2024-11-13_13:13:06.405431
AD   27,96.00%,Michael J. LiPetri Jr.,(Conservative),323,2024-11-13_13:13:06.405431
AD   27,96.00%,Thomas R. Suozzi,(Common Sense),72,2024-11-13_13:13:06.405431
AD   27,96.00%,WRITE-IN,,11,2024-11-13_13:13:06.405431
AD   33,90.91%,Thomas R. Suozzi,(Democratic),7803,2024-11-13_13:13:06.405431
AD   33,90.91%,Michael J. LiPetri Jr.,(Republican),4706,2024-11-13_13:13:06.405431
AD   33,90.91%,Michael J. LiPetri Jr.,(Conservative),387,2024-11-13_13:13:06.405431
AD   33,90.91%,Thomas R. Suozzi,(Common Sense),177,2024-11-13_13:13:06.405431
AD   33,90.91%,WRITE-IN,,97,2024-11-13_13:13:06.405431
AD   40,96.88%,Thomas R. Suozzi,(Democratic),2241,2024-11-13_13:13:06.405431
AD   40,96.88%,Michael J. LiPetri Jr.,(Republican),3016,2024-11-13_13:13:06.405431
AD   40,96.88%,Michael J. LiPetri Jr.,(Conservative),225,2024-11-13_13:13:06.405431
AD   40,96.88%,Thomas R. Suozzi,(Common Sense),59,2024-11-13_13:13:06.405431
AD   40,96.88%,WRITE-IN,,10,2024-11-13_13:13:06.405431
Total,,Thomas R. Suozzi,(Democratic),34691,2024-11-13_13:13:06.405431
Total,,Michael J. LiPetri Jr.,(Republican),27534,2024-11-13_13:13:06.405431
Total,,Michael J. LiPetri Jr.,(Conservative),2359,2024-11-13_13:13:06.405431
Total,,Thomas R. Suozzi,(Common Sense),770,2024-11-13_13:13:06.405431
Total,,WRITE-IN,,216,2024-11-13_13:13:06.405431
