AD_num,reported,candidate,party,votes,scrape_time
AD   51,95.79%,Marcela Mitaynes,(Democratic),15830,2024-11-07_14:18:41.351729
AD   51,95.79%,Erik S. Frankel,(Republican),5101,2024-11-07_14:18:41.351729
AD   51,95.79%,Erik S. Frankel,(Conservative),717,2024-11-07_14:18:41.351729
AD   51,95.79%,Marcela Mitaynes,(Working Families),3930,2024-11-07_14:18:41.351729
AD   51,95.79%,WRITE-IN,,74,2024-11-07_14:18:41.351729
Total,,Marcela Mitaynes,(Democratic),15830,2024-11-07_14:18:41.351729
Total,,Erik S. Frankel,(Republican),5101,2024-11-07_14:18:41.351729
Total,,Erik S. Frankel,(Conservative),717,2024-11-07_14:18:41.351729
Total,,Marcela Mitaynes,(Working Families),3930,2024-11-07_14:18:41.351729
Total,,WRITE-IN,,74,2024-11-07_14:18:41.351729
